source_node_id,source_name,node_type,floor,source_x,source_y,map_asset_id,x,y,room_code,location_kind,category,name_th,name_verification,disposition,reason,flags
LC3_entry_TLLM,entry_TLLM,entrance,1,153,267,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_LStair,Junction_LStair,junction,1,153,300,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_MidBridge,Junction_MidBridge,junction,1,591,251,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_MStair,Junction_MStair,junction,1,582,251,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NL1,Junction_NL1,junction,1,132,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NL2,Junction_NL2,junction,1,153,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NM,Junction_NM,junction,1,581,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NM1,Junction_NM1,junction,1,581,126,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NM2,Junction_NM2,junction,1,581,214,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NM3,Junction_NM3,junction,1,600,214,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NM4,Junction_NM4,junction,1,600,251,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NM5,Junction_NM5,junction,1,622,214,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NM6,Junction_NM6,junction,1,622,249,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NM7,Junction_NM7,junction,1,750,250,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_NR1,Junction_NR1,junction,1,762,121,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_QR1-1,Junction_QR1-1,junction,1,592,394,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_QR4-1,Junction_QR4-1,junction,1,1020,372,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_RRoundabout,Junction_RRoundabout,junction,1,916,294,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_RRoundabout1,Junction_RRoundabout1,junction,1,830,294,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_RRoundabout2,Junction_RRoundabout2,junction,1,830,250,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_RRoundabout3,Junction_RRoundabout3,junction,1,1020,294,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_RStair,Junction_RStair,junction,1,1020,283,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SL1,Junction_SL1,junction,1,131,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SL2,Junction_SL2,junction,1,153,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SM,Junction_SM,junction,1,592,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SM1,Junction_SM1,junction,1,438,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SM2,Junction_SM2,junction,1,492,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SM3,Junction_SM3,junction,1,554,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SM4,Junction_SM4,junction,1,798,400,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SR1,Junction_SR1,junction,1,1020,400,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SR2,Junction_SR2,junction,1,966,400,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SR3,Junction_SR3,junction,1,915,400,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SR4,Junction_SR4,junction,1,967,509,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_SR5,Junction_SR5,junction,1,1033,509,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_TLRF,Junction_TLRF,junction,1,1020,268,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_Junction_TLRM,Junction_TLRM,junction,1,1020,318,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_QR1,QR1,room,1,609,394,,,,,,,,,exclude_out_of_scope,qr_anchor_not_a_room,
LC3_QR2,QR2,room,1,169,329,,,,,,,,,exclude_out_of_scope,qr_anchor_not_a_room,
LC3_QR3,QR3,room,1,541,126,,,,,,,,,exclude_out_of_scope,qr_anchor_not_a_room,
LC3_QR4,QR4,room,1,1039,372,,,,,,,,,exclude_out_of_scope,qr_anchor_not_a_room,
LC3_LFToilet,LFToilet,facility,1,87,316,lc3-floor-1,127,356,,poi,toilet,ห้องน้ำหญิง (ฝั่งซ้าย),inferred,include,,
LC3_LMToilet,LMToilet,facility,1,88,267,lc3-floor-1,128,307,,poi,toilet,ห้องน้ำชาย (ฝั่งซ้าย),inferred,include,,
LC3_RFToilet,RFToilet,facility,1,1102,268,lc3-floor-1,1142,308,,poi,toilet,ห้องน้ำหญิง (ฝั่งขวา),inferred,include,,
LC3_RMToilet,RMToilet,facility,1,1105,318,lc3-floor-1,1145,358,,poi,toilet,ห้องน้ำชาย (ฝั่งขวา),inferred,include,,
LC3_stair-1,stair-1,stairs,1,120,300,lc3-floor-1,160,340,,poi,stairs,บันได 1,inferred,include,,
LC3_stair-2,stair-2,stairs,1,582,230,lc3-floor-1,622,270,,poi,stairs,บันได 2,inferred,include,,
LC3_stair-3,stair-3,stairs,1,1062,283,lc3-floor-1,1102,323,,poi,stairs,บันได 3,inferred,include,,
LC3_101,101,room,1,503,190,lc3-floor-1,543,230,LC3-101,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_101/1,101/1,room,1,336,112,lc3-floor-1,376,152,LC3-101/1,room,lecture_room,ห้องบรรยาย 4 (วิทยาศาสตร์สิ่งแวดล้อม),from_source,include,,
LC3_101/2,101/2,room,1,381,112,lc3-floor-1,421,152,LC3-101/2,room,seminar_room,ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_102/1,102/1,room,1,477,44,lc3-floor-1,517,84,LC3-102/1,room,seminar_room,ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_102/2,102/2,room,1,445,45,lc3-floor-1,485,85,LC3-102/2,room,seminar_room,ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_103,103,room,1,400,45,lc3-floor-1,440,85,LC3-103,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_104,104,room,1,336,46,lc3-floor-1,376,86,LC3-104,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_104/1,104/1,room,1,287,46,lc3-floor-1,327,86,LC3-104/1,room,student_room,ห้องพักนักศึกษาระดับบัณฑิตศึกษา (วิทยาศาสตร์สิ่งแวดล้อม),from_source,include,,
LC3_105,105,room,1,287,114,lc3-floor-1,327,154,LC3-105,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_106,106,room,1,238,47,lc3-floor-1,278,87,LC3-106,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_107,107,room,1,211,111,lc3-floor-1,251,151,LC3-107,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_108,108,room,1,176,47,lc3-floor-1,216,87,LC3-108,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_108/1,108/1,room,1,132,31,lc3-floor-1,172,71,LC3-108/1,room,staff_room,ห้องเจ้าหน้าที่,from_source,include,,
LC3_109,109,room,1,85,50,lc3-floor-1,125,90,LC3-109,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_110,110,room,1,82,102,lc3-floor-1,122,142,LC3-110,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_111,111,room,1,83,169,lc3-floor-1,123,209,LC3-111,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_115,115,room,1,84,357,lc3-floor-1,124,397,LC3-115,room,seminar_room,ห้องสัมมนาทางคณิตศาสตร์และสถิติ,from_source,include,,
LC3_116,116,room,1,84,423,lc3-floor-1,124,463,LC3-116,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_117,117,room,1,88,483,lc3-floor-1,128,523,LC3-117,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_118,118,room,1,184,490,lc3-floor-1,224,530,LC3-118,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_118/1,118/1,room,1,227,491,lc3-floor-1,267,531,LC3-118/1,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_119,119,room,1,184,420,lc3-floor-1,224,460,LC3-119,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_119/1,119/1,room,1,205,419,lc3-floor-1,245,459,LC3-119/1,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_119/2,119/2,room,1,227,419,lc3-floor-1,267,459,LC3-119/2,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_119/3,119/3,room,1,250,418,lc3-floor-1,290,458,LC3-119/3,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_119/4,119/4,room,1,272,420,lc3-floor-1,312,460,LC3-119/4,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_119/5,119/5,room,1,293,420,lc3-floor-1,333,460,LC3-119/5,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_120,120,room,1,289,488,lc3-floor-1,329,528,LC3-120,room,storage,ห้องเก็บของ,from_source,include,,
LC3_121,121,room,1,368,491,lc3-floor-1,408,531,LC3-121,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_121/1,121/1,room,1,438,496,lc3-floor-1,478,536,LC3-121/1,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_121/2,121/2,room,1,464,471,lc3-floor-1,504,511,LC3-121/2,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_121/3,121/3,room,1,487,496,lc3-floor-1,527,536,LC3-121/3,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_121/4,121/4,room,1,718,481,lc3-floor-1,758,521,LC3-121/4,room,service_room,ห้องโครงการให้คำปรึกษาทางสถิติเพื่อการวิจัย / ห้องสมาคมศิษย์เก่า คณะวิทยาศาสตร์และเทคโนโลยี,from_source,include,,
LC3_121/5,121/5,room,1,765,479,lc3-floor-1,805,519,LC3-121/5,room,faculty_office,ห้องพักอาจารย์ (ฟิสิกส์),from_source,include,,
LC3_122,122,room,1,368,418,lc3-floor-1,408,458,LC3-122,room,lecture_room,ห้องบรรยายเรียนรวม,from_source,include,,
LC3_122/1,122/1,room,1,438,401,lc3-floor-1,478,441,LC3-122/1,room,staff_room,ห้องเจ้าหน้าที่,from_source,include,,
LC3_122/2,122/2,room,1,463,421,lc3-floor-1,503,461,LC3-122/2,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_122/3,122/3,room,1,487,402,lc3-floor-1,527,442,LC3-122/3,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_122/4,122/4,room,1,504,402,lc3-floor-1,544,442,LC3-122/4,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_122/5,122/5,room,1,528,422,lc3-floor-1,568,462,LC3-122/5,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_122/6,122/6,room,1,554,403,lc3-floor-1,594,443,LC3-122/6,room,faculty_office,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),from_source,include,,
LC3_123,123,room,1,845,444,lc3-floor-1,885,484,LC3-123,room,faculty_office,ห้องพักอาจารย์ (ฟิสิกส์),from_source,include,,
LC3_123/1,123/1,room,1,847,508,lc3-floor-1,887,548,LC3-123/1,room,faculty_office,ห้องพักอาจารย์ (ฟิสิกส์),from_source,include,,
LC3_124/1,124/1,room,1,914,493,lc3-floor-1,954,533,LC3-124/1,room,research_room,ห้องวิจัยพลาสมาและนิวเคลียร์ฟิวชัน,from_source,include,,
LC3_124/2,124/2,room,1,914,426,lc3-floor-1,954,466,LC3-124/2,room,research_room,ห้องวิจัยพลาสมาและนิวเคลียร์ฟิวชัน,from_source,include,,
LC3_125,125,room,1,997,628,lc3-floor-1,1037,668,LC3-125,room,unknown,,pending_survey,include,missing_thai_name_verify_on_site,needs_field_validation
LC3_125/1,125/1,room,1,998,593,lc3-floor-1,1038,633,LC3-125/1,room,storage,ห้องเก็บของ,from_source,include,,
LC3_126,126,room,1,1087,628,lc3-floor-1,1127,668,LC3-126,room,unknown,,pending_survey,include,missing_thai_name_verify_on_site,needs_field_validation
LC3_127,127,room,1,1011,477,lc3-floor-1,1051,517,LC3-127,room,faculty_office,ห้องพักอาจารย์ (ฟิสิกส์),from_source,include,,
LC3_128,128,room,1,1052,476,lc3-floor-1,1092,516,LC3-128,room,laboratory,ห้องปฏิบัติการอิเล็กทรอนิกส์,from_source,include,,
LC3_129,129,room,1,1096,476,lc3-floor-1,1136,516,LC3-129,room,laboratory,ห้องปฏิบัติการอิเล็กทรอนิกส์,from_source,include,,
LC3_130,130,room,1,1043,336,lc3-floor-1,1083,376,LC3-130,room,storage,ห้องเก็บของ,from_source,include,,
LC3_131,131,room,1,1063,337,lc3-floor-1,1103,377,LC3-131,room,storage,ห้องเก็บของ,from_source,include,,
LC3_132,132,room,1,1098,364,lc3-floor-1,1138,404,LC3-132,room,utility,ห้องควบคุมไฟฟ้า,from_source,include,,
LC3_135,135,room,1,1089,173,lc3-floor-1,1129,213,LC3-135,room,unknown,,pending_survey,include,missing_thai_name_verify_on_site,needs_field_validation
LC3_136,136,room,1,1020,54,lc3-floor-1,1060,94,LC3-136,room,faculty_office,ห้องพักอาจารย์ (ฟิสิกส์),from_source,include,,
LC3_137/1,137/1,room,1,976,63,lc3-floor-1,1016,103,LC3-137/1,room,research_room,ห้องวิจัยฟิสิกส์,from_source,include,,
LC3_137/2,137/2,room,1,914,63,lc3-floor-1,954,103,LC3-137/2,room,research_room,ห้องวิจัยฟิสิกส์,from_source,include,,
LC3_137/3,137/3,room,1,846,63,lc3-floor-1,886,103,LC3-137/3,room,research_room,ห้องวิจัยฟิสิกส์,from_source,include,,
LC3_138,138,room,1,793,62,lc3-floor-1,833,102,LC3-138,room,faculty_office,ห้องพักอาจารย์ (ฟิสิกส์),from_source,include,,
LC3_139,139,room,1,762,47,lc3-floor-1,802,87,LC3-139,room,research_room,ห้องวิจัยฟิสิกส์,from_source,include,,
LC3_140,140,room,1,740,94,lc3-floor-1,780,134,LC3-140,room,laboratory,ห้องปฏิบัติการอิเล็กทรอนิกส์,from_source,include,,
LC3_141,141,room,1,681,169,lc3-floor-1,721,209,LC3-141,room,laboratory,ห้องปฏิบัติการอิเล็กทรอนิกส์,from_source,include,,
LC3_F2_entry-1,entry-1,entrance,2,177,173,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-2,entry-2,entrance,2,302,173,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-3,entry-3,entrance,2,334,173,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-4,entry-4,entrance,2,421,235,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-5,entry-5,entrance,2,489,282,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-6,entry-6,entrance,2,573,283,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-7,entry-7,entrance,2,574,408,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-8,entry-8,entrance,2,642,235,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-9,entry-9,entrance,2,765,173,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-10,entry-10,entrance,2,873,173,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-11,entry-11,entrance,2,969,167,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-12,entry-12,entrance,2,944,187,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-13,entry-13,entrance,2,944,225,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-14,entry-14,entrance,2,945,372,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-15,entry-15,entrance,2,966,372,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-16,entry-16,entrance,2,982,372,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-17,entry-17,entrance,2,1033,450,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-18,entry-18,entrance,2,881,450,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-19,entry-19,entrance,2,807,450,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-20,entry-20,entrance,2,688,450,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-21,entry-21,entrance,2,750,502,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-22,entry-22,entrance,2,750,475,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-23,entry-23,entrance,2,750,527,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-24,entry-24,entrance,2,750,556,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-25,entry-25,entrance,2,666,502,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-26,entry-26,entrance,2,666,476,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-27,entry-27,entrance,2,666,527,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-28,entry-28,entrance,2,666,555,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-29,entry-29,entrance,2,344,450,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-30,entry-30,entrance,2,114,222,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-31,entry-31,entrance,2,114,198,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_F2_entry-32,entry-32,entrance,2,88,173,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entey-33,entry-33,entrance,2,54,191,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry-34,entry-34,entrance,2,335,66,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry-35,entry-35,entrance,2,452,450,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry-36,entry-36,entrance,2,613,450,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry-37,entry-37,entrance,2,868,471,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry-38,entry-38,entrance,2,1005,450,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry-39,entry-39,entrance,2,944,167,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry-40,entry-40,entrance,2,1047,158,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry-41,entry-41,entrance,2,873,64,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry-42,entry-42,entrance,2,765,64,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry-43,entry-43,entrance,2,642,65,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
