location_id,building_code,floor,location_kind,room_code,aliases,name_th,category,map_asset_id,x,y,detail_th,landmarks,source_node_id,source_x,source_y,flags
LC3-F1-R108,LC3,1,room,LC3-108,LC3-108|LC3_108|108,ห้องบรรยายเรียนรวม,lecture_room,lc3-floor-1,216,87,อาคาร LC3 ชั้น 1 ห้อง 108 — ห้องบรรยายเรียนรวม,near_toilet:LC3-F1-PLMTOILET:6|near_stairs:LC3-F1-PSTAIR-1:7,LC3_108,176,47,
LC3-F1-R108-1,LC3,1,room,LC3-108/1,LC3-108/1|LC3_108/1|108/1,ห้องเจ้าหน้าที่,staff_room,lc3-floor-1,172,71,อาคาร LC3 ชั้น 1 ห้อง 108/1 — ห้องเจ้าหน้าที่,near_toilet:LC3-F1-PLMTOILET:7|near_stairs:LC3-F1-PSTAIR-1:8,LC3_108/1,132,31,
LC3-F1-R109,LC3,1,room,LC3-109,LC3-109|LC3_109|109,ห้องบรรยายเรียนรวม,lecture_room,lc3-floor-1,125,90,อาคาร LC3 ชั้น 1 ห้อง 109 — ห้องบรรยายเรียนรวม,near_toilet:LC3-F1-PLMTOILET:7|near_stairs:LC3-F1-PSTAIR-1:8,LC3_109,85,50,
LC3-F1-R110,LC3,1,room,LC3-110,LC3-110|LC3_110|110,ห้องบรรยายเรียนรวม,lecture_room,lc3-floor-1,122,142,อาคาร LC3 ชั้น 1 ห้อง 110 — ห้องบรรยายเรียนรวม,near_toilet:LC3-F1-PLMTOILET:4|near_stairs:LC3-F1-PSTAIR-1:5,LC3_110,82,102,
LC3-F1-R111,LC3,1,room,LC3-111,LC3-111|LC3_111|111,ห้องบรรยายเรียนรวม,lecture_room,lc3-floor-1,123,209,อาคาร LC3 ชั้น 1 ห้อง 111 — ห้องบรรยายเรียนรวม,near_toilet:LC3-F1-PLMTOILET:3|near_stairs:LC3-F1-PSTAIR-1:4,LC3_111,83,169,
LC3-F1-R115,LC3,1,room,LC3-115,LC3-115|LC3_115|115,ห้องสัมมนาทางคณิตศาสตร์และสถิติ,seminar_room,lc3-floor-1,124,397,อาคาร LC3 ชั้น 1 ห้อง 115 — ห้องสัมมนาทางคณิตศาสตร์และสถิติ,near_toilet:LC3-F1-PLFTOILET:3|near_stairs:LC3-F1-PSTAIR-1:4,LC3_115,84,357,
LC3-F1-R116,LC3,1,room,LC3-116,LC3-116|LC3_116|116,ห้องบรรยายเรียนรวม,lecture_room,lc3-floor-1,124,463,อาคาร LC3 ชั้น 1 ห้อง 116 — ห้องบรรยายเรียนรวม,near_toilet:LC3-F1-PLFTOILET:4|near_stairs:LC3-F1-PSTAIR-1:5,LC3_116,84,423,
LC3-F1-R117,LC3,1,room,LC3-117,LC3-117|LC3_117|117,ห้องบรรยายเรียนรวม,lecture_room,lc3-floor-1,128,523,อาคาร LC3 ชั้น 1 ห้อง 117 — ห้องบรรยายเรียนรวม,near_toilet:LC3-F1-PLFTOILET:7|near_stairs:LC3-F1-PSTAIR-1:8,LC3_117,88,483,
LC3-F1-R118,LC3,1,room,LC3-118,LC3-118|LC3_118|118,ห้องบรรยายเรียนรวม,lecture_room,lc3-floor-1,224,530,อาคาร LC3 ชั้น 1 ห้อง 118 — ห้องบรรยายเรียนรวม,near_toilet:LC3-F1-PLFTOILET:6|near_stairs:LC3-F1-PSTAIR-1:7,LC3_118,184,490,
LC3-F1-R118-1,LC3,1,room,LC3-118/1,LC3-118/1|LC3_118/1|118/1,ห้องบรรยายเรียนรวม,lecture_room,lc3-floor-1,267,531,อาคาร LC3 ชั้น 1 ห้อง 118/1 — ห้องบรรยายเรียนรวม,near_toilet:LC3-F1-PLFTOILET:8|near_stairs:LC3-F1-PSTAIR-1:9,LC3_118/1,227,491,
LC3-F1-R119,LC3,1,room,LC3-119,LC3-119|LC3_119|119,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,224,460,อาคาร LC3 ชั้น 1 ห้อง 119 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLFTOILET:6|near_stairs:LC3-F1-PSTAIR-1:7,LC3_119,184,420,
LC3-F1-R119-1,LC3,1,room,LC3-119/1,LC3-119/1|LC3_119/1|119/1,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,245,459,อาคาร LC3 ชั้น 1 ห้อง 119/1 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLFTOILET:7|near_stairs:LC3-F1-PSTAIR-1:8,LC3_119/1,205,419,
LC3-F1-R119-2,LC3,1,room,LC3-119/2,LC3-119/2|LC3_119/2|119/2,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,267,459,อาคาร LC3 ชั้น 1 ห้อง 119/2 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLFTOILET:8|near_stairs:LC3-F1-PSTAIR-1:9,LC3_119/2,227,419,
LC3-F1-R119-3,LC3,1,room,LC3-119/3,LC3-119/3|LC3_119/3|119/3,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,290,458,อาคาร LC3 ชั้น 1 ห้อง 119/3 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLFTOILET:9|near_stairs:LC3-F1-PSTAIR-1:10,LC3_119/3,250,418,
LC3-F1-R119-4,LC3,1,room,LC3-119/4,LC3-119/4|LC3_119/4|119/4,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,312,460,อาคาร LC3 ชั้น 1 ห้อง 119/4 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLFTOILET:10|near_stairs:LC3-F1-PSTAIR-2:11,LC3_119/4,272,420,
LC3-F1-R119-5,LC3,1,room,LC3-119/5,LC3-119/5|LC3_119/5|119/5,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,333,460,อาคาร LC3 ชั้น 1 ห้อง 119/5 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLFTOILET:11|near_stairs:LC3-F1-PSTAIR-2:10,LC3_119/5,293,420,
LC3-F1-R120,LC3,1,room,LC3-120,LC3-120|LC3_120|120,ห้องเก็บของ,storage,lc3-floor-1,329,528,อาคาร LC3 ชั้น 1 ห้อง 120 — ห้องเก็บของ,near_toilet:LC3-F1-PLFTOILET:11|near_stairs:LC3-F1-PSTAIR-2:10,LC3_120,289,488,
LC3-F1-R121,LC3,1,room,LC3-121,LC3-121|LC3_121|121,ห้องบรรยายเรียนรวม,lecture_room,lc3-floor-1,408,531,อาคาร LC3 ชั้น 1 ห้อง 121 — ห้องบรรยายเรียนรวม,near_toilet:LC3-F1-PLFTOILET:12|near_stairs:LC3-F1-PSTAIR-2:9,LC3_121,368,491,
LC3-F1-R121-1,LC3,1,room,LC3-121/1,LC3-121/1|LC3_121/1|121/1,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,478,536,อาคาร LC3 ชั้น 1 ห้อง 121/1 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLFTOILET:14|near_stairs:LC3-F1-PSTAIR-2:9,LC3_121/1,438,496,
LC3-F1-R121-2,LC3,1,room,LC3-121/2,LC3-121/2|LC3_121/2|121/2,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,504,511,อาคาร LC3 ชั้น 1 ห้อง 121/2 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLFTOILET:14|near_stairs:LC3-F1-PSTAIR-2:9,LC3_121/2,464,471,
LC3-F1-R121-3,LC3,1,room,LC3-121/3,LC3-121/3|LC3_121/3|121/3,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,527,536,อาคาร LC3 ชั้น 1 ห้อง 121/3 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PRFTOILET:14|near_stairs:LC3-F1-PSTAIR-2:8,LC3_121/3,487,496,
LC3-F1-R121-4,LC3,1,room,LC3-121/4,LC3-121/4|LC3_121/4|121/4,ห้องโครงการให้คำปรึกษาทางสถิติเพื่อการวิจัย / ห้องสมาคมศิษย์เก่า คณะวิทยาศาสตร์และเทคโนโลยี,service_room,lc3-floor-1,758,521,อาคาร LC3 ชั้น 1 ห้อง 121/4 — ห้องโครงการให้คำปรึกษาทางสถิติเพื่อการวิจัย / ห้องสมาคมศิษย์เก่า คณะวิทยาศาสตร์และเทคโนโลยี,near_toilet:LC3-F1-PRFTOILET:10|near_stairs:LC3-F1-PSTAIR-2:6,LC3_121/4,718,481,
LC3-F1-R121-5,LC3,1,room,LC3-121/5,LC3-121/5|LC3_121/5|121/5,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,lc3-floor-1,805,519,อาคาร LC3 ชั้น 1 ห้อง 121/5 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:LC3-F1-PRFTOILET:9|near_stairs:LC3-F1-PSTAIR-2:7,LC3_121/5,765,479,
LC3-F1-R122,LC3,1,room,LC3-122,LC3-122|LC3_122|122,ห้องบรรยายเรียนรวม,lecture_room,lc3-floor-1,408,458,อาคาร LC3 ชั้น 1 ห้อง 122 — ห้องบรรยายเรียนรวม,near_toilet:LC3-F1-PLFTOILET:12|near_stairs:LC3-F1-PSTAIR-2:9,LC3_122,368,418,
LC3-F1-R122-1,LC3,1,room,LC3-122/1,LC3-122/1|LC3_122/1|122/1,ห้องเจ้าหน้าที่,staff_room,lc3-floor-1,478,441,อาคาร LC3 ชั้น 1 ห้อง 122/1 — ห้องเจ้าหน้าที่,near_toilet:LC3-F1-PLFTOILET:14|near_stairs:LC3-F1-PSTAIR-2:9,LC3_122/1,438,401,
LC3-F1-R122-2,LC3,1,room,LC3-122/2,LC3-122/2|LC3_122/2|122/2,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,503,461,อาคาร LC3 ชั้น 1 ห้อง 122/2 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLFTOILET:14|near_stairs:LC3-F1-PSTAIR-2:9,LC3_122/2,463,421,
LC3-F1-R122-3,LC3,1,room,LC3-122/3,LC3-122/3|LC3_122/3|122/3,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,527,442,อาคาร LC3 ชั้น 1 ห้อง 122/3 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PRFTOILET:14|near_stairs:LC3-F1-PSTAIR-2:8,LC3_122/3,487,402,
LC3-F1-R122-4,LC3,1,room,LC3-122/4,LC3-122/4|LC3_122/4|122/4,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,544,442,อาคาร LC3 ชั้น 1 ห้อง 122/4 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PRFTOILET:14|near_stairs:LC3-F1-PSTAIR-2:8,LC3_122/4,504,402,
LC3-F1-R122-5,LC3,1,room,LC3-122/5,LC3-122/5|LC3_122/5|122/5,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,568,462,อาคาร LC3 ชั้น 1 ห้อง 122/5 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PRFTOILET:14|near_stairs:LC3-F1-PSTAIR-2:8,LC3_122/5,528,422,
LC3-F1-R122-6,LC3,1,room,LC3-122/6,LC3-122/6|LC3_122/6|122/6,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,594,443,อาคาร LC3 ชั้น 1 ห้อง 122/6 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PRFTOILET:13|near_stairs:LC3-F1-PSTAIR-2:7,LC3_122/6,554,403,
LC3-F1-R123,LC3,1,room,LC3-123,LC3-123|LC3_123|123,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,lc3-floor-1,885,484,อาคาร LC3 ชั้น 1 ห้อง 123 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:LC3-F1-PRFTOILET:8|near_stairs:LC3-F1-PSTAIR-3:7,LC3_123,845,444,
