event_code,event_name,room_code,day_of_week,start_time,end_time,event_type
TU154,"TU154 (Note: ย้ายไปเรียนห้อง 214 บร.4)",LC3-109,"Monday",09:30,12:30,Class
TU156,"TU156 (Note: ย้ายไปเรียน บร.4 ห้อง 214)",LC3-109,"Monday",13:30,16:30,Class
CS373,"CS373",LC3-109,"Tuesday",09:30,11:00,Class
CS373,"CS373",LC3-109,"Thursday",09:30,11:00,Class
MA212,"MA212",LC3-109,"Tuesday",11:00,12:30,Class
MA212,"MA212",LC3-109,"Thursday",11:00,12:30,Class
AM347,"AM347",LC3-109,"Thursday",13:30,16:30,Class
PC345,"PC345",LC3-109,"Wednesday",09:30,11:00,Class
PC345,"PC345",LC3-109,"Friday",09:30,11:00,Class
AM341,"AM341",LC3-109,"Wednesday",11:00,12:30,Class
AM341,"AM341",LC3-109,"Friday",11:00,12:30,Class
CS374,"CS374",LC3-109,"Wednesday",13:30,16:30,Class
NP306,"NP306",LC3-109,"Friday",13:30,16:30,Class
PC320,"PC320",LC3-110,"Monday",09:30,12:30,Class
ASC332,"ASC332",LC3-110,"Tuesday",11:00,12:30,Class
ASC332,"ASC332",LC3-110,"Thursday",11:00,12:30,Class
PC240,"PC240",LC3-110,"Tuesday",13:30,15:00,Class
PC240,"PC240",LC3-110,"Thursday",13:30,15:00,Class
CS341,"CS341",LC3-110,"Wednesday",09:30,11:00,Class
CS341,"CS341",LC3-110,"Friday",09:30,11:00,Class
CS346,"CS346",LC3-110,"Wednesday",13:30,16:30,Class
PC287,"PC287",LC3-110,"Friday",13:30,16:30,Class
NP211,"NP211",LC3-111,"Monday",09:30,11:00,Class
MA426,"MA426",LC3-111,"Tuesday",09:30,11:00,Class
MA426,"MA426",LC3-111,"Thursday",09:30,11:00,Class
PC206,"PC206",LC3-111,"Tuesday",11:00,12:30,Class
PC206,"PC206",LC3-111,"Thursday",11:00,12:30,Class
PC417,"PC417",LC3-111,"Thursday",13:30,16:30,Class
MA436,"MA436",LC3-111,"Wednesday",11:00,12:30,Class
MA436,"MA436",LC3-111,"Friday",11:00,12:30,Class
CS223,"CS223",LC3-111,"Wednesday",13:30,16:30,Class
ES352,"ES352",LC3-116,"Monday",08:00,10:00,Class
ES357,"ES357",LC3-116,"Monday",13:30,16:30,Class
NP300,"NP300",LC3-116,"Tuesday",09:30,11:00,Class
NP300,"NP300",LC3-116,"Thursday",09:30,11:00,Class
PC447,"PC447",LC3-116,"Tuesday",11:00,12:30,Class
PC447,"PC447",LC3-116,"Thursday",11:00,12:30,Class
NP309,"NP309",LC3-116,"Thursday",16:30,19:30,Class
CS384,"CS384",LC3-116,"Wednesday",09:30,11:00,Class
CS384,"CS384",LC3-116,"Friday",09:30,11:00,Class
AM429,"AM429",LC3-116,"Wednesday",11:00,12:30,Class
AM429,"AM429",LC3-116,"Friday",11:00,12:30,Class
ES202,"ES202",LC3-116,"Friday",13:30,16:30,Class
ES338,"ES338",LC3-117,"Monday",09:30,12:30,Class
NP210,"NP210",LC3-117,"Tuesday",09:30,11:30,Class
ES356,"ES356",LC3-117,"Tuesday",13:30,16:30,Class
ASC391,"ASC391",LC3-117,"Thursday",13:30,16:30,Class
CS265,"CS265",LC3-117,"Wednesday",08:00,11:00,Class
ES268,"ES268",LC3-117,"Friday",09:30,12:30,Class
ES266,"ES266",LC3-118,"Monday",09:30,12:30,Class
ES347,"ES347",LC3-118,"Tuesday",09:30,11:30,Class
ES366,"ES366",LC3-118,"Thursday",09:30,12:30,Class
ES450,"ES450",LC3-118,"Wednesday",09:30,12:30,Class
ES427,"ES427",LC3-118,"Friday",09:30,11:30,Class
ES345,"ES345",LC3-118/1,"Monday",08:00,10:00,Class
PC257,"PC257",LC3-118/1,"Monday",13:30,16:30,Class
ES416,"ES416",LC3-118/1,"Tuesday",09:30,12:30,Class
ES427//cantdefinedmisalingedbetweenextra_1andlc3-f1-118_1-01,illuselc3-f1-118_1-01asamainthensothiswouldchangetoES41609:30-12:30Thursday,"ES427 //cant defined misalinged between extra_1 and lc3-f1-118_1-01, ill use lc3-f1-118_1-01 as a main then so this would change to ES416 09:30 - 12:30 Thursday",LC3-118/1,"Thursday",09:30,12:30,Class
ES316,"ES316",LC3-118/1,"Wednesday",09:30,12:30,Class
ES386,"ES386",LC3-118/1,"Friday",09:30,12:30,Class
ES346,"ES346",LC3-118/1,"Tuesday",13:30,16:30,Class
CS301,"CS301",LC3-121,"Monday",09:30,12:30,Class
AM260,"AM260",LC3-121,"Monday",13:30,16:30,Class
CS100,"CS100",LC3-121,"Tuesday",08:00,09:30,Class
CS100,"CS100",LC3-121,"Thursday",08:00,09:30,Class
CS101,"CS101",LC3-121,"Tuesday",09:30,11:00,Class
CS101,"CS101",LC3-121,"Thursday",09:30,11:00,Class
CS102,"CS102",LC3-121,"Tuesday",11:00,12:30,Class
CS102,"CS102",LC3-121,"Thursday",11:00,12:30,Class
CS101,"CS101",LC3-121,"Tuesday",13:30,15:00,Class
CS101,"CS101",LC3-121,"Thursday",13:30,15:00,Class
CS213,"CS213",LC3-121,"Tuesday",15:00,16:30,Class
CS213,"CS213",LC3-121,"Thursday",15:00,16:30,Class
CS103,"CS103",LC3-121,"Wednesday",09:30,11:00,Class
CS103,"CS103",LC3-121,"Friday",09:30,11:00,Class
CS333,"CS333",LC3-121,"Wednesday",13:30,16:30,Class
NP214,"NP214",LC3-121,"Friday",16:30,19:30,Class
ST349,"ST349",LC3-122,"Monday",09:30,12:30,Class
AM460,"AM460",LC3-122,"Monday",13:30,16:30,Class
CS100,"CS100",LC3-122,"Tuesday",08:00,09:30,Class
CS100,"CS100",LC3-122,"Thursday",08:00,09:30,Class
CS101,"CS101",LC3-122,"Tuesday",09:30,11:00,Class
CS101,"CS101",LC3-122,"Thursday",09:30,11:00,Class
CS102,"CS102",LC3-122,"Tuesday",11:00,12:30,Class
CS102,"CS102",LC3-122,"Thursday",11:00,12:30,Class
CS101,"CS101",LC3-122,"Tuesday",13:30,15:00,Class
CS101,"CS101",LC3-122,"Thursday",13:30,15:00,Class
CS213,"CS213",LC3-122,"Tuesday",15:00,16:30,Class
CS213,"CS213",LC3-122,"Thursday",15:00,16:30,Class
CS103,"CS103",LC3-122,"Wednesday",09:30,11:00,Class
CS103,"CS103",LC3-122,"Friday",09:30,11:00,Class
CNC101,"CNC101",LC3-122,"Wednesday",11:00,12:30,Class
CNC101,"CNC101",LC3-122,"Friday",11:00,12:30,Class
AM201,"AM201",LC3-122,"Wednesday",13:30,15:00,Class
AM201,"AM201",LC3-122,"Friday",13:30,15:00,Class
CNC222,"CNC222",LC3-122,"Wednesday",15:00,16:30,Class
CNC222,"CNC222",LC3-122,"Friday",15:00,16:30,Class
MMA446,"Exam - MMA446",LC3-227,"7 พฤษภาคม 2569",09:00,12:00,Exam
MA624,"MA624",LC3-101/1,"Monday",11:00,12:30,Class
MA624,"MA624",LC3-101/1,"Friday",11:00,12:30,Class
ST447,"ST447",LC3-101/1,"Tuesday",11:00,12:30,Class
ST447,"ST447",LC3-101/1,"Thursday",11:00,12:30,Class
MA821,"MA821",LC3-101/1,"Wednesday",09:30,12:30,Class
ST657/ST688,"ST657/ST688",LC3-101/1,"Thursday",13:30,16:30,Class
MA491,"MA491",LC3-102/2,"Monday",13:30,16:30,Class
ST790,"ST790",LC3-102/2,"Tuesday",11:00,12:30,Class
MA830,"MA830",LC3-102/2,"Wednesday",11:00,12:30,Class
MA830,"MA830",LC3-102/2,"Friday",11:00,12:30,Class
MA811,"MA811",LC3-102/2,"Wednesday",14:00,15:30,Class
MA811,"MA811",LC3-102/2,"Friday",14:00,15:30,Class
MR436,"MR 436",LC3-103,"Monday",09:30,12:30,Class
CS361,"CS 361",LC3-103,"Tuesday",08:00,11:00,Class
CS379,"CS 379",LC3-103,"Tuesday",11:00,12:30,Class
CS379,"CS 379",LC3-103,"Thursday",11:00,12:30,Class
ES206,"ES 206",LC3-103,"Wednesday",09:30,12:30,Class
วล202,"วล 202",LC3-103,"Wednesday",13:30,15:30,Class
NP201,"NP 201",LC3-103,"Wednesday",16:30,19:30,Class
ES203,"ES 203",LC3-103,"Thursday",13:30,16:30,Class
ES206,"ES 206",LC3-103,"Friday",08:00,09:30,Class
ES436,"ES 436",LC3-103,"Friday",09:30,12:30,Class
PHY627,"PHY 627",LC3-103,"Friday",13:30,16:30,Class
NP310,"NP 310",LC3-104,"Monday",09:30,11:30,Class
ST477,"ST 477",LC3-104,"Monday",13:30,16:30,Class
MR336,"MR 336",LC3-104,"Tuesday",09:30,11:00,Class
MR336,"MR 336",LC3-104,"Thursday",09:30,11:00,Class
AM328,"AM 328",LC3-104,"Tuesday",11:00,12:30,Class
AM328,"AM 328",LC3-104,"Thursday",11:00,12:30,Class
CS341,"CS 341",LC3-104,"Wednesday",08:00,09:30,Class
CS341,"CS 341",LC3-104,"Friday",08:00,09:30,Class
ASC,"ASC",LC3-104,"Wednesday",09:30,12:30,Class
ST326,"ST 326",LC3-104,"Wednesday",13:30,15:00,Class
ST326,"ST 326",LC3-104,"Friday",13:30,15:00,Class
CS335,"CS 335",LC3-104,"Wednesday",15:00,16:30,Class
CS335,"CS 335",LC3-104,"Friday",15:00,16:30,Class
ES468,"ES 468",LC3-104,"Thursday",13:30,16:30,Class
ES339,"ES 339",LC3-104,"Friday",09:30,12:30,Class
