event_code,event_name,room_code,day_of_week,start_time,end_time,event_type
,"Thesis Research (ทำการวิจัย สำหรับวิทยานิพนธ์) - ในเวลาราชการ (เครื่องแก้ว, ตู้อบ) [Note: Form specifies room 103, posted on room 203]",LC3-203,"10 มิ.ย. 2567 - 30 พ.ย. 2567 (วันเวลาราชการ)",08:30,16:30,Lab Booking
,"Thesis Research (ทำการวิจัย สำหรับวิทยานิพนธ์) - นอกเวลาราชการ",LC3-203,"10 มิ.ย. 2567 - 30 พ.ย. 2567 (ทุกวัน)",06:00,24:00,Lab Booking
,"Special Project (ทำปัญหาพิเศษ) - ในเวลาราชการ (เครื่องแก้ว, เครื่องกวน)",LC3-203,"1 ส.ค. 2567 - 31 ต.ค. 2567 (วันเวลาราชการ)",08:00,16:30,Lab Booking
,"Special Project (ทำ project ปัญหาพิเศษ) - ในเวลาราชการ (อุปกรณ์เครื่องเตาอบ, อุปกรณ์เครื่องแก้ว)",LC3-203,"2 ก.ย. 2567 - 20 ก.ย. 2567 (วันเวลาราชการ)",08:30,16:30,Lab Booking
,"Special Project (ทำการทดลองสำหรับ ปัญหาพิเศษ - ทดลองการดูดซับด้วย biochar) - นอกเวลาราชการ",LC3-203,"25 ส.ค. 2567 - 25 ก.ย. 2567 (ทุกวัน)",08:00,24:00,Lab Booking
,"Special Project (ทำการทดลอง ปัญหาพิเศษ - ทดลองการดูดซับด้วย biochar) - ในเวลาราชการ (เตาอบ)",LC3-203,"25 ส.ค. 2567 - 25 ก.ย. 2567 (ทุกวัน)",08:00,24:00,Lab Booking
,"ปัญหาพิเศษ (Special Project)",LC3-203,"3 ก.ย. 2567 - 30 ก.ย. 2567",07:00,22:00,Lab Booking
,"ทำการทดลองปัญหาพิเศษ (Special Project)",LC3-203,"1 ต.ค. 2567 - 31 ต.ค. 2567",08:00,21:00,Lab Booking
,"วิจัย วล.491 / ปัญหาพิเศษ",LC3-213,"17 ส.ค. 2567 - 17 ก.ย. 2567",08:30,16:30,Lab Booking
,"ปัญหาพิเศษ วล.491",LC3-213,"17 ส.ค. 2567 - 17 ก.ย. 2567",16:30,23:30,Lab Booking
,"โปรเจคปัญหาพิเศษ วล.491",LC3-213,"17 ส.ค. 2567 - 17 ก.ย. 2567",16:30,23:00,Lab Booking
,"ทำการทดลองโปรเจคปัญหาพิเศษ (วล.491)",LC3-213,"17 ส.ค. 2567 - 17 ก.ย. 2567",08:00,16:30,Lab Booking
,"ทำการทดลองโปรเจคปัญหาพิเศษ (วล.491)",LC3-213,"17 ส.ค. 2567 - 17 ก.ย. 2567",08:00,16:30,Lab Booking
,"ทำการทดลองโปรเจคปัญหาพิเศษ (วล.491)",LC3-213,"17 ส.ค. 2567 - 17 ก.ย. 2567",,,Lab Booking
,"เกี่ยวกับปัญหาพิเศษ (Special Project)",LC3-241,"3 ก.ย. 2567 - 3 ต.ค. 2567",08:00,21:00,Lab Booking
,"เกี่ยวกับปัญหาพิเศษ (Special Project)",LC3-241,"3 ก.ย. 2567 - 3 ต.ค. 2567",08:00,21:00,Lab Booking
,"ปัญหาพิเศษ (Special Problem / Lab Experiment)",LC3-241,"3 กันยายน 2567 – 3 ตุลาคม 2567",08:00,16:00,Lab Booking
,"ปัญหาพิเศษ (Special Problem / Lab Experiment)",LC3-241,"3 กันยายน 2567 – 3 ตุลาคม 2567",08:00,16:30,Lab Booking
,"วิทยานิพนธ์ (Thesis Lab Research)",LC3-241,"22 กรกฎาคม 2567 – 30 กันยายน 2567",08:00,16:30,Lab Booking
,"ปัญหาพิเศษ (Special Problem - ทดสอบการดูดซับ ใช้เครื่องอบ)",LC3-241,"25 สิงหาคม 2567 – 25 กันยายน 2567",08:00,24:00,Lab Booking
,"ปัญหาพิเศษ (Special Problem - ทดลองการดูดซับด้วย biochar)",LC3-241,"25 สิงหาคม 2567 – 25 กันยายน 2567",08:00,24:00,Lab Booking
,"ปัญหาพิเศษ (Special Problem)",LC3-241,"3 กันยายน 2567 – 3 ตุลาคม 2567",08:30,21:00,Lab Booking
,"ปัญหาพิเศษ (Special Problem)",LC3-241,"3 กันยายน 2567 – 3 ตุลาคม 2567",08:30,21:00,Lab Booking
,"วิทยานิพนธ์ (Thesis Lab Research)",LC3-241,"22 กรกฎาคม 2567 – 30 กันยายน 2567",16:30,02:00,Lab Booking
,"วิทยานิพนธ์ (Thesis)",LC3-243,"31 สิงหาคม 2567 – 31 มีนาคม 2568",09:00,24:00,Lab Booking
,"วิทยานิพนธ์ (Thesis)",LC3-243,"31 สิงหาคม 2567 – 31 มีนาคม 2568",09:00,24:00,Lab Booking
,"วิทยานิพนธ์ (Thesis - โครงการบัณฑิตศึกษา วศ.โยธา)",LC3-243,"พฤษภาคม 2567 – สิงหาคม 2567",,,Lab Booking
,"รายวิชาวิทยานิพนธ์ (Thesis)",LC3-243,"22 กรกฎาคม 2567 – 30 กันยายน 2567",16:30,02:00,Lab Booking
,"รายวิชาวิทยานิพนธ์ (Thesis)",LC3-243,"22 กรกฎาคม 2567 – 30 กันยายน 2567",08:00,16:30,Lab Booking
